"ENSG00000000003","TSPAN6"
"ENSG00000221548","MIR1283-2"
"ENSG00000221552","MIR1303"
"ENSG00000221562","RNU6ATAC10P"
"ENSG00000221563","MIR1269A"
"ENSG00000221564","RNU6ATAC42P"
"ENSG00000221571","RNU6ATAC35P"
"ENSG00000221574","RNU6ATAC33P"
"ENSG00000221583","RNU6ATAC21P"
"ENSG00000221585","MIR1226"
"ENSG00000221586","MIR1261"
"ENSG00000221594","MIR548F1"
"ENSG00000221598","MIR1249"
"ENSG00000221601","RNU4ATAC2P"
"ENSG00000221603","MIR1184-3"
"ENSG00000221604","MIR1293"
"ENSG00000221611","SNORD88"
"ENSG00000221614","MIR1185-2"
"ENSG00000221616","MIR548H4"
"ENSG00000221628","MIR1302-4"
"ENSG00000221630","MIR1179"
"ENSG00000221633","U3"
"ENSG00000221634","MIR1276"
"ENSG00000221638","U3"
"ENSG00000221639","SNORA3"
"ENSG00000221641","MIR1268A"
"ENSG00000221643","SNORA77"
"ENSG00000221649","MIR1233-1"
"ENSG00000221650","MIR1267"
"ENSG00000221656","MIR1225"
"ENSG00000221662","MIR1290"
"ENSG00000221669","MIR548N"
"ENSG00000221673","U3"
"ENSG00000221676","RNU6ATAC"
"ENSG00000221680","MIR1278"
"ENSG00000221697","MIR1275"
"ENSG00000221698","MIR548H3"
"ENSG00000221703","MIR302E"
"ENSG00000221705","SNORA11E"
"ENSG00000221710","MIR1298"
"ENSG00000221711","SNORD75"
"ENSG00000221716","SNORA11"
"ENSG00000221719","SNORA3C"
"ENSG00000221725","RNU6ATAC25P"
"ENSG00000221737","MIR548I1"
"ENSG00000221739","MIR1203"
"ENSG00000221740","SNORD93"
"ENSG00000221745","MIR1197"
"ENSG00000221750","SNORA11"
"ENSG00000221753","MIR1273A"
"ENSG00000221754","MIR1260A"
"ENSG00000221760","MIR548J"
"ENSG00000221763","MIR1289-1"
"ENSG00000221768","MIR1302-7"
"ENSG00000221771","MIR1205"
"ENSG00000221782","MIR548F2"
"ENSG00000221783","MIR1183"
"ENSG00000221788","MIR1252"
"ENSG00000221792","MIR1282"
"ENSG00000221801","MIR548H2"
"ENSG00000221803","SNORD23"
"ENSG00000221806","RNU6ATAC34P"
"ENSG00000221808","MIR1256"
"ENSG00000221813","OR6B1"
"ENSG00000221817","PPP3CB-AS1"
"ENSG00000221818","EBF2"
"ENSG00000221819","GAS8-AS1"
"ENSG00000221821","C6orf226"
"ENSG00000221823","PPP3R1"
"ENSG00000221826","PSG3"
"ENSG00000221829","FANCG"
"ENSG00000221836","OR2A5"
"ENSG00000221837","KRTAP10-9"
"ENSG00000221838","AP4M1"
"ENSG00000221840","OR4A5"
"ENSG00000221843","C2orf16"
"ENSG00000221844","DPP3P2"
"ENSG00000221845","C7orf65"
"ENSG00000221849","AC018880.1"
"ENSG00000221852","KRTAP1-5"
"ENSG00000221855","TAS2R41"
"ENSG00000221857","AC020907.2"
"ENSG00000221858","OR2A12"
"ENSG00000221859","KRTAP10-10"
"ENSG00000221864","KRTAP12-2"
"ENSG00000221866","PLXNA4"
"ENSG00000221867","MAGEA3"
"ENSG00000221869","CEBPD"
"ENSG00000221870","TMEM257"
"ENSG00000221874","ZNF816-ZNF321P"
"ENSG00000221878","PSG7"
"ENSG00000221879","MRPS21P3"
"ENSG00000221880","KRTAP1-3"
"ENSG00000221882","OR3A2"
"ENSG00000221883","ARIH2OS"
"ENSG00000221886","ZBED8"
"ENSG00000221887","HMSD"
"ENSG00000221888","OR1C1"
"ENSG00000221890","NPTXR"
"ENSG00000221891","FAM218BP"
"ENSG00000221900","POM121L12"
"ENSG00000221909","FAM200A"
"ENSG00000221910","OR2F2"
"ENSG00000221914","PPP2R2A"
"ENSG00000221916","C19orf73"
"ENSG00000221923","ZNF880"
"ENSG00000221926","TRIM16"
"ENSG00000221930","FAM45BP"
"ENSG00000221931","OR6X1"
"ENSG00000221932","HEPN1"
"ENSG00000221933","OR2A25"
"ENSG00000221937","TAS2R40"
"ENSG00000221938","OR2A14"
"ENSG00000221944","TIGD1"
"ENSG00000221946","FXYD7"
"ENSG00000221947","XKR9"
"ENSG00000221949","LINC01465"
"ENSG00000221953","C1orf229"
"ENSG00000221954","OR4C12"
"ENSG00000221955","SLC12A8"
"ENSG00000221957","KIR2DS4"
"ENSG00000221961","PRR21"
"ENSG00000221962","TMEM14EP"
"ENSG00000221963","APOL6"
"ENSG00000221968","FADS3"
"ENSG00000221970","OR2A1"
"ENSG00000221971","TTC4P1"
"ENSG00000221972","C3orf36"
"ENSG00000221977","OR4E2"
"ENSG00000221978","CCNL2"
"ENSG00000221983","UBA52"
"ENSG00000221986","MYBPHL"
"ENSG00000221988","PPT2"
"ENSG00000221989","OR2A2"
"ENSG00000221990","EXOC3-AS1"
"ENSG00000221994","ZNF630"
"ENSG00000221995","TIAF1"
"ENSG00000221996","OR52B4"
"ENSG00000222000","AC092675.1"
"ENSG00000222001","AC106876.1"
"ENSG00000222004","C7orf71"
"ENSG00000222005","LINC01118"
"ENSG00000222007","AC064874.1"
"ENSG00000222009","BTBD19"
"ENSG00000222011","FAM185A"
"ENSG00000222012","AC005481.1"
"ENSG00000222014","RAB6C"
"ENSG00000222017","AC011997.1"
"ENSG00000222018","C21orf140"
"ENSG00000222019","URAHP"
"ENSG00000222020","AC062017.1"
"ENSG00000222022","AC112721.1"
"ENSG00000222024","AC004945.1"
"ENSG00000222028","PSMB11"
"ENSG00000222030","LINC01793"
"ENSG00000222031","AC023469.1"
"ENSG00000222032","AC112721.2"
"ENSG00000222033","LINC01124"
"ENSG00000222035","AC079354.1"
"ENSG00000222036","POTEM"
"ENSG00000222037","IGLC6"
"ENSG00000222038","POTEJ"
"ENSG00000222041","CYTOR"
"ENSG00000222042","AP001341.1"
"ENSG00000222043","AC079305.1"
"ENSG00000222044","AL031587.1"
"ENSG00000222046","DCDC2B"
"ENSG00000222047","C10orf55"
"ENSG00000222051","RNU6-1165P"
"ENSG00000222054","RNA5SP177"
"ENSG00000222057","RNU4-62P"
"ENSG00000222067","RNU4-86P"
"ENSG00000222068","RN7SKP154"
"ENSG00000222069","RN7SKP285"
"ENSG00000222071","MIR1915"
"ENSG00000222072","Y_RNA"
"ENSG00000222076","RNU2-3P"
"ENSG00000222078","RN7SKP110"
"ENSG00000222087","RNU6-721P"
"ENSG00000222092","RNU6-908P"
"ENSG00000222094","RNU2-65P"
"ENSG00000222095","SNORD113"
"ENSG00000222099","RN7SKP32"
"ENSG00000222102","RN7SKP232"
"ENSG00000222107","RN7SKP117"
"ENSG00000222108","RNA5SP317"
"ENSG00000222111","RN7SKP148"
"ENSG00000222112","RN7SKP16"
"ENSG00000222114","RNU6-985P"
"ENSG00000222118","RNA5SP487"
"ENSG00000222122","RNU6-648P"
"ENSG00000222123","RNA5SP390"
"ENSG00000222126","RNU2-9P"
"ENSG00000222129","RNA5SP36"
"ENSG00000222139","RNU6-380P"
"ENSG00000222145","SNORA73"
"ENSG00000222146","RNU4-37P"
"ENSG00000222148","RNY4P30"
"ENSG00000222150","RNA5SP239"
"ENSG00000222154","RN7SKP218"
"ENSG00000222160","Y_RNA"
"ENSG00000222162","RN7SKP151"
"ENSG00000222164","RN7SKP266"
"ENSG00000222170","RNU6-257P"
"ENSG00000222174","RN7SKP146"
"ENSG00000222177","RNU4-30P"
"ENSG00000222178","RNA5SP181"
"ENSG00000222179","RN7SKP26"
"ENSG00000222182","RNA5SP156"
"ENSG00000222185","SNORD113"
"ENSG00000222202","RNU4-26P"
"ENSG00000222205","RNA5SP266"
"ENSG00000222206","Y_RNA"
"ENSG00000222207","RNA5SP407"
"ENSG00000222208","RNA5SP129"
"ENSG00000222209","RNA5SP56"
"ENSG00000222210","RN7SKP65"
"ENSG00000222213","RNU6-588P"
"ENSG00000222220","RN7SKP129"
"ENSG00000222222","RNU2-17P"
"ENSG00000222224","Y_RNA"
"ENSG00000222225","RNU6-447P"
"ENSG00000222230","RNA5SP158"
"ENSG00000222231","RNU2-54P"
"ENSG00000222232","RNA5SP89"
"ENSG00000222236","RNA5SP163"
"ENSG00000222238","RNU2-43P"
"ENSG00000222240","RN7SKP156"
"ENSG00000222244","RNA5SP431"
"ENSG00000222246","MIR1471"
"ENSG00000222248","RNA5SP201"
"ENSG00000222249","RNU6-262P"
"ENSG00000222251","RNA5SP95"
"ENSG00000222255","RNU6-101P"
"ENSG00000222257","RN7SKP199"
"ENSG00000222259","RN7SKP114"
"ENSG00000222266","RNU6-757P"
"ENSG00000222267","RNU6-892P"
"ENSG00000222268","RNA5SP425"
"ENSG00000222276","RNU2-33P"
"ENSG00000222281","RN7SKP111"
"ENSG00000222282","RNU6-584P"
"ENSG00000222285","RNA5SP193"
"ENSG00000222287","RNU6-1043P"
"ENSG00000222293","RNU2-36P"
"ENSG00000222297","RNU6-1156P"
"ENSG00000222300","RNU2-21P"
"ENSG00000222302","RNA5SP371"
"ENSG00000222303","RNU6-935P"
"ENSG00000222305","Y_RNA"
"ENSG00000222308","RNA5SP198"
"ENSG00000222312","RNA5SP178"
"ENSG00000222313","RN7SKP267"
"ENSG00000222314","RNU6-1118P"
"ENSG00000222317","RNA5SP118"
"ENSG00000222320","RNU6-1050P"
"ENSG00000222321","MIR1912"
"ENSG00000222327","RNU6-855P"
"ENSG00000222328","RNU2-2P"
"ENSG00000222329","RNU6-1076P"
"ENSG00000222335","Y_RNA"
"ENSG00000222337","RN7SKP225"
"ENSG00000222338","RNU6-174P"
"ENSG00000222343","RN7SKP139"
"ENSG00000222344","RNU6-613P"
"ENSG00000222345","SNORD19"
"ENSG00000222346","RNA5SP237"
"ENSG00000222351","RNY1P15"
"ENSG00000222352","RN7SKP221"
"ENSG00000222355","RNU2-29P"
"ENSG00000222356","RNU6-710P"
"ENSG00000222357","RNU2-20P"
"ENSG00000222359","RNU6-355P"
"ENSG00000222361","RNU6-1186P"
"ENSG00000222363","RNU4-34P"
"ENSG00000222365","SNORD12B"
"ENSG00000222370","SNORA36B"
"ENSG00000222371","RN7SKP202"
"ENSG00000222375","RN7SKP127"
"ENSG00000222376","RN7SKP152"
"ENSG00000222378","RNA5SP44"
"ENSG00000222383","RNA5SP203"
"ENSG00000222385","RN7SKP158"
"ENSG00000222386","RN7SKP86"
"ENSG00000222389","RNU2-28P"
"ENSG00000222394","Y_RNA"
"ENSG00000222395","Y_RNA"
"ENSG00000222397","RN7SKP229"
"ENSG00000222398","RNU6-554P"
"ENSG00000222399","RNU6-791P"
"ENSG00000222404","RN7SKP281"
"ENSG00000222405","RNU4-65P"
"ENSG00000222407","RNA5SP80"
"ENSG00000222412","Y_RNA"
"ENSG00000222413","RN7SKP125"
"ENSG00000222414","RNU2-59P"
"ENSG00000222416","RNA5SP274"
"ENSG00000222418","RNA5SP113"
"ENSG00000222419","RNA5SP511"
"ENSG00000222421","Y_RNA"
"ENSG00000222426","RNU2-50P"
"ENSG00000222427","RNA5SP338"
"ENSG00000222428","RNA5SP231"
"ENSG00000222429","RNU6-955P"
"ENSG00000222430","Y_RNA"
"ENSG00000222431","RNU6-141P"
"ENSG00000222432","Y_RNA"
"ENSG00000222436","RN7SKP278"
"ENSG00000222438","RNU6-1077P"
"ENSG00000222439","RNU6-994P"
"ENSG00000222440","RNU2-26P"
"ENSG00000222445","RN7SKP56"
"ENSG00000222448","RN7SKP150"
"ENSG00000222449","RNU6-1140P"
"ENSG00000222451","RN7SKP143"
"ENSG00000222452","RN7SKP59"
"ENSG00000222455","RNA5SP296"
"ENSG00000222457","RNU6-121P"
"ENSG00000222459","RNA5SP293"
"ENSG00000222460","RN7SKP271"
"ENSG00000222465","RNU2-5P"
"ENSG00000222467","Y_RNA"
"ENSG00000222468","RNA5SP261"
"ENSG00000222472","RN7SKP7"
"ENSG00000222477","RNU2-23P"
"ENSG00000222486","RNU6-77P"
"ENSG00000222488","RNU6-285P"
"ENSG00000222489","SNORA79B"
"ENSG00000222490","RNU6-712P"
"ENSG00000222496","RN7SKP200"
"ENSG00000222499","RN7SKP177"
"ENSG00000222500","RNA5SP475"
"ENSG00000222501","RNU4-25P"
"ENSG00000222503","Y_RNA"
"ENSG00000222506","Y_RNA"
"ENSG00000222509","Y_RNA"
"ENSG00000222511","Y_RNA"
"ENSG00000222514","RN7SKP223"
"ENSG00000222515","RN7SKP240"
"ENSG00000222520","RNA5SP451"
"ENSG00000222522","RNU6-519P"
"ENSG00000222524","RN7SKP109"
"ENSG00000222529","Y_RNA"
"ENSG00000222532","MIR1468"
"ENSG00000222533","RNU6-705P"
"ENSG00000222536","RNU2-39P"
"ENSG00000222543","RN7SKP220"
"ENSG00000222544","RNU6-735P"
"ENSG00000222546","RNA5SP251"
"ENSG00000222552","RNA5SP60"
"ENSG00000222558","RNU6-1064P"
"ENSG00000222560","RNU4-43P"
"ENSG00000222561","RNU6-1025P"
"ENSG00000222574","RN7SKP61"
"ENSG00000222578","RNA5SP345"
"ENSG00000222579","Y_RNA"
"ENSG00000222581","RNU2-47P"
"ENSG00000222582","RNU2-66P"
"ENSG00000222583","RN7SKP222"
"ENSG00000222585","RNA5SP494"
"ENSG00000222588","SNORA19"
"ENSG00000222589","RN7SKP159"
"ENSG00000222592","RNU6-887P"
"ENSG00000222594","RN7SKP235"
"ENSG00000222598","RNU2-49P"
"ENSG00000222601","Y_RNA"
"ENSG00000222604","SNORA7"
"ENSG00000222607","RNU6-628P"
"ENSG00000222608","RNA5SP504"
"ENSG00000222609","RNU4-69P"
"ENSG00000222610","RNU6-402P"
"ENSG00000222612","RNU2-52P"
"ENSG00000222613","Y_RNA"
"ENSG00000222614","Y_RNA"
"ENSG00000222616","RN7SKP27"
"ENSG00000222617","RN7SKP254"
"ENSG00000222623","RNU6-1100P"
"ENSG00000222624","RNU2-15P"
"ENSG00000222626","RNU2-48P"
"ENSG00000222627","RNU2-37P"
"ENSG00000222629","RNU2-42P"
"ENSG00000222630","RN7SKP131"
"ENSG00000222635","RNU6-1203P"
"ENSG00000222636","RN7SKP54"
"ENSG00000222640","RNU2-51P"
"ENSG00000222644","RNU2-16P"
"ENSG00000222649","Y_RNA"
"ENSG00000222650","RNU2-70P"
"ENSG00000222652","RNU6-248P"
"ENSG00000222658","Y_RNA"
"ENSG00000222659","RNU2-8P"
"ENSG00000222663","RNU4-55P"
"ENSG00000222664","RN7SKP123"
"ENSG00000222666","U3"
"ENSG00000222667","RNU6-394P"
"ENSG00000222675","RNA5SP146"
"ENSG00000222678","RN7SKP213"
"ENSG00000222679","RNU6-1267P"
"ENSG00000222682","RNA5SP38"
"ENSG00000222685","RN7SKP119"
"ENSG00000222686","RNU4-72P"
"ENSG00000222691","RNU6-733P"
"ENSG00000222693","RN7SKP120"
"ENSG00000222698","Y_RNA"
"ENSG00000222701","Y_RNA"
"ENSG00000222704","RN7SKP182"
"ENSG00000222705","RN7SKP39"
"ENSG00000222706","RN7SKP89"
"ENSG00000222713","RN7SKP51"
"ENSG00000222714","RN7SKP38"
"ENSG00000222715","MIR1911"
"ENSG00000222721","RN7SKP188"
"ENSG00000222724","RNU2-63P"
"ENSG00000222726","RNU2-7P"
"ENSG00000222727","RNU4-64P"
"ENSG00000222733","RNY4P29"
"ENSG00000222736","RNU4-6P"
"ENSG00000222740","RNA5SP328"
"ENSG00000222741","RNA5SP229"
"ENSG00000222743","RNU6-1190P"
"ENSG00000222744","RN7SKP166"
"ENSG00000222747","RNA5SP25"
"ENSG00000222750","RNU4-46P"
"ENSG00000222755","RN7SKP206"
"ENSG00000222760","RNU4-53P"
"ENSG00000222761","RNU6-684P"
"ENSG00000222764","RN7SKP106"
"ENSG00000222765","RNU2-40P"
"ENSG00000222767","Y_RNA"
"ENSG00000222774","RN7SKP121"
"ENSG00000222777","RNU6-233P"
"ENSG00000222778","RNA5SP144"
"ENSG00000222783","RN7SKP212"
"ENSG00000222784","RN7SKP91"
"ENSG00000222788","RNU2-38P"
"ENSG00000222790","RNU4-14P"
"ENSG00000222791","RNU6-67P"
"ENSG00000222792","RNU6-860P"
"ENSG00000222795","RNU4-83P"
"ENSG00000222796","RNU6-383P"
"ENSG00000222800","RNU2-62P"
"ENSG00000222806","RNA5SP225"
"ENSG00000222808","RNU4-47P"
"ENSG00000222810","RNU2-68P"
"ENSG00000222821","RNU4-27P"
"ENSG00000222826","RN7SKP286"
"ENSG00000222831","MIR1537"
"ENSG00000222832","RNA5SP120"
"ENSG00000222835","RNA5SP100"
"ENSG00000222838","RNA5SP136"
"ENSG00000222842","RN7SKP168"
"ENSG00000222844","RNU6-321P"
"ENSG00000222845","RN7SKP42"
"ENSG00000222849","RNA5SP21"
"ENSG00000222852","Y_RNA"
"ENSG00000222854","RNA5SP59"
"ENSG00000222858","RNU6-920P"
"ENSG00000222859","RN7SKP136"
"ENSG00000222862","RNU6-1086P"
"ENSG00000222869","RNU6-565P"
"ENSG00000222870","RNU6-1328P"
"ENSG00000222872","RNU4-78P"
"ENSG00000222874","RN7SKP33"
"ENSG00000222880","RN7SKP261"
"ENSG00000222881","Y_RNA"
"ENSG00000222883","Y_RNA"
"ENSG00000222889","RN7SKP29"
"ENSG00000222890","RNU6-1068P"
"ENSG00000222895","RNU6-1133P"
"ENSG00000222898","RN7SKP97"
"ENSG00000222909","RNU6-193P"
"ENSG00000222915","RNU6-564P"
"ENSG00000222920","RNA5SP29"
"ENSG00000222921","RNA5SP104"
"ENSG00000222922","RNA5SP501"
"ENSG00000222923","RNU2-41P"
"ENSG00000222924","RNU6-1148P"
"ENSG00000222931","RN7SKP205"
"ENSG00000222932","RNU6-172P"
"ENSG00000222934","RN7SKP284"
"ENSG00000222937","SNORD63B"
"ENSG00000222940","RNU6-370P"
"ENSG00000222941","Y_RNA"
"ENSG00000222942","RN7SKP58"
"ENSG00000222950","RN7SKP262"
"ENSG00000222952","RNA5SP41"
"ENSG00000222955","RNA5SP265"
"ENSG00000222958","MIR1913"
"ENSG00000222960","RNU6-272P"
"ENSG00000222966","SNORA40"
"ENSG00000222969","RN7SKP8"
"ENSG00000222971","RNA5SP222"
"ENSG00000222972","RNU6-651P"
"ENSG00000222973","RNU2-25P"
"ENSG00000222974","RN7SKP228"
"ENSG00000222976","RN7SKP94"
"ENSG00000222979","RN7SKP167"
"ENSG00000222982","RN7SKP216"
"ENSG00000222983","RNA5SP127"
"ENSG00000222985","RNU2-14P"
"ENSG00000222986","RNU5A-5P"
"ENSG00000222987","RN7SKP68"
"ENSG00000222990","RNU4-22P"
"ENSG00000222997","Y_RNA"
"ENSG00000222998","RN7SKP259"
"ENSG00000223001","RNU2-61P"
"ENSG00000223003","RNA5SP184"
"ENSG00000223004","SNORD29"
"ENSG00000223006","RN7SKP137"
"ENSG00000223007","RN7SKP73"
"ENSG00000223012","RN7SKP264"
"ENSG00000223013","RNA5SP344"
"ENSG00000223015","RNU6-1135P"
"ENSG00000223019","RNA5SP306"
"ENSG00000223023","Y_RNA"
"ENSG00000223024","RNU6-55P"
"ENSG00000223026","RN7SKP247"
"ENSG00000223027","SNORA57"
"ENSG00000223037","RNU6-284P"
"ENSG00000223039","RN7SKP268"
"ENSG00000223040","RN7SKP144"
"ENSG00000223042","RN7SKP161"
"ENSG00000223044","RNU6-130P"
"ENSG00000223046","RNA5SP369"
"ENSG00000223047","RNU6-847P"
"ENSG00000223056","RN7SKP169"
"ENSG00000223060","Y_RNA"
"ENSG00000223062","RNU6-1245P"
"ENSG00000223064","RNU6-325P"
"ENSG00000223075","RN7SKP126"
"ENSG00000223076","RNA5SP31"
"ENSG00000223078","RNU2-55P"
"ENSG00000223080","Y_RNA"
"ENSG00000223086","RNA5SP155"
"ENSG00000223087","RNU6-602P"
"ENSG00000223088","RMRPP5"
"ENSG00000223092","RNA5SP115"
"ENSG00000223096","RNU5E-9P"
"ENSG00000223107","RNU2-72P"
"ENSG00000223109","MIR1538"
"ENSG00000223111","SNORA74C-2"
"ENSG00000223113","RNA5SP247"
"ENSG00000223117","RN7SKP296"
"ENSG00000223118","RN7SKP102"
"ENSG00000223120","RN7SKP181"
"ENSG00000223125","RNU2-32P"
"ENSG00000223126","RN7SKP263"
"ENSG00000223128","RN7SKP140"
"ENSG00000223131","RNA5SP304"
"ENSG00000223136","RN7SKP207"
"ENSG00000223138","RNA5SP450"
"ENSG00000223142","RN7SKP252"
"ENSG00000223145","RN7SKP112"
"ENSG00000223152","RNU4-88P"
"ENSG00000223156","RNU2-18P"
"ENSG00000223158","RNY1P3"
"ENSG00000223162","RNA5SP280"
"ENSG00000223168","RN7SKP142"
"ENSG00000223169","RNA5SP209"
"ENSG00000223174","RN7SKP17"
"ENSG00000223175","RNU4-61P"
"ENSG00000223177","RNA5SP39"
"ENSG00000223179","RNU6-373P"
"ENSG00000223181","RNU6-1199P"
"ENSG00000223188","Y_RNA"
"ENSG00000223189","RNU6-177P"
"ENSG00000223190","RN7SKP100"
"ENSG00000223191","RNU6-293P"
"ENSG00000223197","RNU6-1001P"
"ENSG00000223198","RNU2-22P"
"ENSG00000223202","RN7SKP297"
"ENSG00000223203","RNA5SP221"
"ENSG00000223208","RNU6-1217P"
"ENSG00000223212","RNU4-74P"
"ENSG00000223215","RNU6-607P"
"ENSG00000223217","RNU6-938P"
"ENSG00000223220","Y_RNA"
"ENSG00000223223","RN7SKP192"
"ENSG00000223224","SNORD71"
"ENSG00000223225","RNU6-1054P"
"ENSG00000223229","RN7SKP270"
"ENSG00000223238","RNA5SP294"
"ENSG00000223245","RNU4-63P"
"ENSG00000223247","RNU2-64P"
"ENSG00000223254","Y_RNA"
"ENSG00000223256","RNU6-785P"
"ENSG00000223258","RNU6-575P"
"ENSG00000223259","RNA5SP508"
"ENSG00000223260","RN7SKP194"
"ENSG00000223262","RNA5SP492"
"ENSG00000223263","RNU6-387P"
"ENSG00000223265","RNU6-592P"
"ENSG00000223269","RN7SKP53"
"ENSG00000223271","Y_RNA"
"ENSG00000223273","RN7SKP172"
"ENSG00000223274","RNA5SP498"
"ENSG00000223280","RNU6-57P"
"ENSG00000223281","RN7SKP85"
"ENSG00000223282","RN7SKP165"
"ENSG00000223284","RNU6-195P"
"ENSG00000223287","RNU6-954P"
"ENSG00000223290","RNA5SP107"
"ENSG00000223293","RNA5SP270"
"ENSG00000223294","SNORD83"
"ENSG00000223298","RNY3P8"
"ENSG00000223299","RN7SKP108"
"ENSG00000223300","Y_RNA"
"ENSG00000223302","Y_RNA"
"ENSG00000223305","RN7SKP30"
"ENSG00000223306","RNU6-1304P"
"ENSG00000223308","RN7SKP101"
"ENSG00000223309","RNU6-722P"
"ENSG00000223313","RNU6-516P"
"ENSG00000223315","RN7SKP279"
"ENSG00000223318","RNA5SP111"
"ENSG00000223321","RN7SKP293"
"ENSG00000223324","RN7SKP273"
"ENSG00000223327","RNU2-71P"
"ENSG00000223330","RNU6-1052P"
"ENSG00000223335","RNU6-603P"
"ENSG00000223336","RNU2-6P"
"ENSG00000223341","RN7SKP3"
"ENSG00000223342","AL158817.1"
"ENSG00000223343","AC137630.1"
"ENSG00000223344","AL359081.1"
"ENSG00000223345","HIST2H2BA"
"ENSG00000223349","KLF2P3"
"ENSG00000223350","IGLV9-49"
"ENSG00000223351","ZNF385D-AS2"
"ENSG00000223353","AL589763.1"
"ENSG00000223356","AL590666.1"
"ENSG00000223358","EHHADH-AS1"
"ENSG00000223360","AC096559.1"
"ENSG00000223361","FTH1P10"
"ENSG00000223362","CDY15P"
"ENSG00000223368","AL513124.1"
"ENSG00000223373","AC108066.1"
"ENSG00000223374","AC005104.1"
"ENSG00000223375","AC096638.1"
"ENSG00000223377","AC244098.1"
"ENSG00000223379","AL391987.2"
"ENSG00000223381","AL356476.1"
"ENSG00000223382","LINC01778"
"ENSG00000223383","HIST1H2APS6"
"ENSG00000223387","LINC02068"
"ENSG00000223389","SDCBP2P1"
"ENSG00000223390","AL445685.1"
"ENSG00000223391","AC006210.1"
"ENSG00000223392","CLDN10-AS1"
"ENSG00000223393","AL118511.1"
"ENSG00000223394","TRBV29OR9-2"
"ENSG00000223395","RBM22P7"
"ENSG00000223396","RPS10P7"
"ENSG00000223398","AC027124.1"
"ENSG00000223400","AP006748.1"
"ENSG00000223401","AC072022.1"
"ENSG00000223402","AC074121.1"
"ENSG00000223403","MEG9"
"ENSG00000223404","LINC00397"
"ENSG00000223406","XKRYP5"
"ENSG00000223407","USP9YP18"
"ENSG00000223409","RPL17P17"
"ENSG00000223410","AL009050.1"
"ENSG00000223414","LINC00473"
"ENSG00000223416","RPS26P15"
"ENSG00000223417","TRIM49D1"
"ENSG00000223418","AC004554.1"
"ENSG00000223419","AC006022.1"
"ENSG00000223421","AL354854.1"
"ENSG00000223422","AC007274.1"
"ENSG00000223427","AC016716.1"
"ENSG00000223428","AC010997.1"
"ENSG00000223429","AL139156.1"
"ENSG00000223430","AC011243.1"
"ENSG00000223431","MTND6P21"
"ENSG00000223432","AC009988.1"
"ENSG00000223433","RPS29P9"
"ENSG00000223436","AC011625.1"
"ENSG00000223437","TMSB4XP3"
"ENSG00000223438","AC235097.1"
"ENSG00000223440","AL589642.1"
"ENSG00000223442","TH2LCRR"
"ENSG00000223443","USP17L2"
"ENSG00000223445","RPL6P21"
"ENSG00000223446","AL451065.1"
"ENSG00000223450","AL590632.1"
"ENSG00000223452","HMGN2P18"
"ENSG00000223455","AL355298.1"
"ENSG00000223457","HTATSF1P1"
"ENSG00000223458","LMO7DN-IT1"
"ENSG00000223459","TCAF1P1"
"ENSG00000223460","GAPDHP69"
"ENSG00000223461","AC004471.1"
"ENSG00000223462","AL353801.1"
"ENSG00000223466","LINC01825"
"ENSG00000223467","CALM1P1"
"ENSG00000223469","AL157371.1"
"ENSG00000223470","AL117338.1"
"ENSG00000223475","AC099681.1"
"ENSG00000223476","VN1R42P"
"ENSG00000223478","AL441992.1"
"ENSG00000223479","LINC02238"
"ENSG00000223482","NUTM2A-AS1"
"ENSG00000223484","TRPC6P"
"ENSG00000223485","LINC01615"
"ENSG00000223486","AC092198.1"
"ENSG00000223487","FRMPD4-AS1"
"ENSG00000223488","MAPK6PS2"
"ENSG00000223489","NEFHP1"
"ENSG00000223490","CHCHD2P5"
"ENSG00000223492","AL391097.1"
"ENSG00000223495","AC239859.2"
"ENSG00000223496","EXOSC6"
"ENSG00000223497","AC063979.1"
"ENSG00000223498","AL929302.1"
"ENSG00000223500","AC083862.1"
"ENSG00000223501","VPS52"
"ENSG00000223502","AL731537.1"
"ENSG00000223503","AL353807.1"
"ENSG00000223504","AL646090.1"
"ENSG00000223505","AC114402.1"
"ENSG00000223506","SLC20A1P1"
"ENSG00000223508","RPL23AP53"
"ENSG00000223509","AC135983.2"
"ENSG00000223510","CDRT15"
"ENSG00000223511","AL683807.1"
"ENSG00000223513","ATP6V0E1P2"
"ENSG00000223514","AC004866.1"
"ENSG00000223516","AFF2-IT1"
"ENSG00000223517","AC010723.1"
"ENSG00000223518","CSNK1A1P1"
"ENSG00000223519","KIF28P"
"ENSG00000223522","AC093690.1"
"ENSG00000223523","AC092598.1"
"ENSG00000223525","RABGAP1L-IT1"
"ENSG00000223528","AL359094.1"
"ENSG00000223529","EEF1A1P8"
"ENSG00000223530","AC012506.1"
"ENSG00000223534","HLA-DQB1-AS1"
"ENSG00000223535","FAM90A17P"
"ENSG00000223536","AC008164.1"
"ENSG00000223537","AL109947.1"
"ENSG00000223538","AC079602.1"
"ENSG00000223539","AC011431.1"
"ENSG00000223540","RPS15AP5"
"ENSG00000223542","AL024497.1"
"ENSG00000223543","TCEAL4P1"
"ENSG00000223544","AC005838.1"
"ENSG00000223546","LINC00630"
"ENSG00000223547","ZNF844"
"ENSG00000223548","AC034228.1"
"ENSG00000223549","MTND5P28"
"ENSG00000223550","SNRPBP1"
"ENSG00000223551","TMSB4XP4"
"ENSG00000223552","AC098613.1"
